code,geography,category,value
E92000001,Country,-8,0
E92000001,Country,1,43002331
E92000001,Country,2,113760
E92000001,Country,3,45684
E92000001,Country,4,46513
E92000001,Country,5,28710
E92000001,Country,6,17177
E92000001,Country,7,2752783
W92000004,Country,-8,0
W92000004,Country,1,2387304
W92000004,Country,2,4015
W92000004,Country,3,1888
W92000004,Country,4,1922
W92000004,Country,5,1548
W92000004,Country,6,897
W92000004,Country,7,161842
E12000001,Region,-8,0
E12000001,Region,1,2065870
E12000001,Region,2,4313
E12000001,Region,3,1743
E12000001,Region,4,1963
E12000001,Region,5,1212
E12000001,Region,6,692
E12000001,Region,7,103166
E12000002,Region,-8,0
E12000002,Region,1,5675755
E12000002,Region,2,13593
E12000002,Region,3,5452
E12000002,Region,4,5608
E12000002,Region,5,3401
E12000002,Region,6,1913
E12000002,Region,7,319912
E12000003,Region,-8,0
E12000003,Region,1,4177019
E12000003,Region,2,11147
E12000003,Region,3,4151
E12000003,Region,4,4165
E12000003,Region,5,2819
E12000003,Region,6,1693
E12000003,Region,7,259305
E12000004,Region,-8,0
E12000004,Region,1,3735589
E12000004,Region,2,8931
E12000004,Region,3,3386
E12000004,Region,4,3507
E12000004,Region,5,2221
E12000004,Region,6,1368
E12000004,Region,7,243043
E12000005,Region,-8,0
E12000005,Region,1,4471807
E12000005,Region,2,12441
E12000005,Region,3,4648
E12000005,Region,4,4916
E12000005,Region,5,2258
E12000005,Region,6,1386
E12000005,Region,7,303873
E12000006,Region,-8,0
E12000006,Region,1,4835263
E12000006,Region,2,10213
E12000006,Region,3,4594
E12000006,Region,4,4437
E12000006,Region,5,2747
E12000006,Region,6,1808
E12000006,Region,7,289224
E12000007,Region,-8,0
E12000007,Region,1,6479664
E12000007,Region,2,32753
E12000007,Region,3,11266
E12000007,Region,4,11480
E12000007,Region,5,5407
E12000007,Region,6,3457
E12000007,Region,7,559960
E12000008,Region,-8,0
E12000008,Region,1,7110048
E12000008,Region,2,13504
E12000008,Region,3,6691
E12000008,Region,4,6735
E12000008,Region,5,5149
E12000008,Region,6,2748
E12000008,Region,7,409705
E12000009,Region,-8,0
E12000009,Region,1,4451316
E12000009,Region,2,6865
E12000009,Region,3,3752
E12000009,Region,4,3700
E12000009,Region,5,3499
E12000009,Region,6,2112
E12000009,Region,7,264593
W92000004,Region,-8,0
W92000004,Region,1,2387304
W92000004,Region,2,4015
W92000004,Region,3,1888
W92000004,Region,4,1922
W92000004,Region,5,1548
W92000004,Region,6,897
W92000004,Region,7,161842
E06000001,LA,-8,0
E06000001,LA,1,70588
E06000001,LA,2,167
E06000001,LA,3,49
E06000001,LA,4,51
E06000001,LA,5,33
E06000001,LA,6,21
E06000001,LA,7,3777
E06000002,LA,-8,0
E06000002,LA,1,106009
E06000002,LA,2,496
E06000002,LA,3,141
E06000002,LA,4,174
E06000002,LA,5,77
E06000002,LA,6,50
E06000002,LA,7,6991
E06000003,LA,-8,0
E06000003,LA,1,106416
E06000003,LA,2,154
E06000003,LA,3,78
E06000003,LA,4,98
E06000003,LA,5,38
E06000003,LA,6,25
E06000003,LA,7,5533
E06000004,LA,-8,0
E06000004,LA,1,150028
E06000004,LA,2,272
E06000004,LA,3,122
E06000004,LA,4,122
E06000004,LA,5,53
E06000004,LA,6,31
E06000004,LA,7,7381
E06000005,LA,-8,0
E06000005,LA,1,83782
E06000005,LA,2,151
E06000005,LA,3,83
E06000005,LA,4,71
E06000005,LA,5,32
E06000005,LA,6,35
E06000005,LA,7,3951
E06000006,LA,-8,0
E06000006,LA,1,99109
E06000006,LA,2,194
E06000006,LA,3,65
E06000006,LA,4,83
E06000006,LA,5,32
E06000006,LA,6,28
E06000006,LA,7,4437
E06000007,LA,-8,0
E06000007,LA,1,164304
E06000007,LA,2,273
E06000007,LA,3,145
E06000007,LA,4,159
E06000007,LA,5,57
E06000007,LA,6,42
E06000007,LA,7,7740
E06000008,LA,-8,0
E06000008,LA,1,110050
E06000008,LA,2,368
E06000008,LA,3,98
E06000008,LA,4,115
E06000008,LA,5,36
E06000008,LA,6,30
E06000008,LA,7,8811
E06000009,LA,-8,0
E06000009,LA,1,109709
E06000009,LA,2,316
E06000009,LA,3,124
E06000009,LA,4,134
E06000009,LA,5,59
E06000009,LA,6,44
E06000009,LA,7,5955
E06000010,LA,-8,0
E06000010,LA,1,197316
E06000010,LA,2,632
E06000010,LA,3,242
E06000010,LA,4,242
E06000010,LA,5,166
E06000010,LA,6,96
E06000010,LA,7,15183
E06000011,LA,-8,0
E06000011,LA,1,272645
E06000011,LA,2,350
E06000011,LA,3,163
E06000011,LA,4,162
E06000011,LA,5,84
E06000011,LA,6,63
E06000011,LA,7,14669
E06000012,LA,-8,0
E06000012,LA,1,120178
E06000012,LA,2,276
E06000012,LA,3,101
E06000012,LA,4,115
E06000012,LA,5,39
E06000012,LA,6,38
E06000012,LA,7,6777
E06000013,LA,-8,0
E06000013,LA,1,130991
E06000013,LA,2,423
E06000013,LA,3,104
E06000013,LA,4,116
E06000013,LA,5,43
E06000013,LA,6,42
E06000013,LA,7,7747
E06000014,LA,-8,0
E06000014,LA,1,160735
E06000014,LA,2,242
E06000014,LA,3,171
E06000014,LA,4,170
E06000014,LA,5,318
E06000014,LA,6,161
E06000014,LA,7,10286
E06000015,LA,-8,0
E06000015,LA,1,191767
E06000015,LA,2,1054
E06000015,LA,3,238
E06000015,LA,4,238
E06000015,LA,5,146
E06000015,LA,6,101
E06000015,LA,7,15647
E06000016,LA,-8,0
E06000016,LA,1,260140
E06000016,LA,2,1649
E06000016,LA,3,437
E06000016,LA,4,496
E06000016,LA,5,210
E06000016,LA,6,119
E06000016,LA,7,27963
E06000017,LA,-8,0
E06000017,LA,1,32573
E06000017,LA,2,30
E06000017,LA,3,16
E06000017,LA,4,20
E06000017,LA,5,8
E06000017,LA,6,6
E06000017,LA,7,1644
E06000018,LA,-8,0
E06000018,LA,1,239353
E06000018,LA,2,1010
E06000018,LA,3,369
E06000018,LA,4,411
E06000018,LA,5,336
E06000018,LA,6,166
E06000018,LA,7,22677
E06000019,LA,-8,0
E06000019,LA,1,146476
E06000019,LA,2,227
E06000019,LA,3,99
E06000019,LA,4,105
E06000019,LA,5,76
E06000019,LA,6,36
E06000019,LA,7,10114
E06000020,LA,-8,0
E06000020,LA,1,139411
E06000020,LA,2,361
E06000020,LA,3,118
E06000020,LA,4,149
E06000020,LA,5,58
E06000020,LA,6,40
E06000020,LA,7,8535
E06000021,LA,-8,0
E06000021,LA,1,190246
E06000021,LA,2,621
E06000021,LA,3,299
E06000021,LA,4,350
E06000021,LA,5,159
E06000021,LA,6,81
E06000021,LA,7,14144
E06000022,LA,-8,0
E06000022,LA,1,151504
E06000022,LA,2,187
E06000022,LA,3,139
E06000022,LA,4,140
E06000022,LA,5,200
E06000022,LA,6,105
E06000022,LA,7,9343
E06000023,LA,-8,0
E06000023,LA,1,360274
E06000023,LA,2,1145
E06000023,LA,3,466
E06000023,LA,4,440
E06000023,LA,5,794
E06000023,LA,6,375
E06000023,LA,7,26214
E06000024,LA,-8,0
E06000024,LA,1,168676
E06000024,LA,2,185
E06000024,LA,3,129
E06000024,LA,4,135
E06000024,LA,5,84
E06000024,LA,6,71
E06000024,LA,7,9288
E06000025,LA,-8,0
E06000025,LA,1,224526
E06000025,LA,2,326
E06000025,LA,3,177
E06000025,LA,4,178
E06000025,LA,5,145
E06000025,LA,6,91
E06000025,LA,7,11923
E06000026,LA,-8,0
